GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
autotest,lab,BankAccount,0,62,0,8,0,16,0,8,0,4
autotest,lab,Calculator,0,41,0,4,0,10,0,8,0,6
